Species,StockVersion,StockID,ProductionRegionNumber,ManagementUnitNumber,StockName,StockLongName,StockGroup
COHO,1,1,1,1,U-nkskrw,Nooksack River Wild UnMarked,North Puget Sound
COHO,1,2,1,2,M-nkskrw,Nooksack River Wild Marked,North Puget Sound
COHO,1,3,1,3,U-kendlh,Kendall Creek Hatchery UnMarked,North Puget Sound
COHO,1,4,1,4,M-kendlh,Kendall Creek Hatchery Marked,North Puget Sound
COHO,1,5,1,5,U-skokmh,Skookum Creek Hatchery UnMarked,North Puget Sound
COHO,1,6,1,6,M-skokmh,Skookum Creek Hatchery Marked,North Puget Sound
COHO,1,7,1,7,U-lumpdh,Lummi Ponds Hatchery UnMarked,North Puget Sound
COHO,1,8,1,8,M-lumpdh,Lummi Ponds Hatchery Marked,North Puget Sound
COHO,1,9,1,9,U-bhambh,Bellingham Bay Net Pens UnMarked,North Puget Sound
COHO,1,10,1,10,M-bhambh,Bellingham Bay Net Pens Marked,North Puget Sound
COHO,1,11,1,11,U-samshw,Samish River Wild UnMarked,North Puget Sound
COHO,1,12,1,12,M-samshw,Samish River Wild Marked,North Puget Sound
COHO,1,13,1,13,U-ar77aw,Area 7/7A Independent Wild UnMarked,North Puget Sound
COHO,1,14,1,14,M-ar77aw,Area 7/7A Independent Wild Marked,North Puget Sound
COHO,1,15,1,15,U-whatch,Whatcom Creek Hatchery UnMarked,North Puget Sound
COHO,1,16,1,16,M-whatch,Whatcom Creek Hatchery Marked,North Puget Sound
COHO,1,17,2,1,U-skagtw,Skagit River Wild UnMarked,North Puget Sound
COHO,1,18,2,2,M-skagtw,Skagit River Wild Marked,North Puget Sound
COHO,1,19,2,3,U-skagth,Skagit River Hatchery UnMarked,North Puget Sound
COHO,1,20,2,4,M-skagth,Skagit River Hatchery Marked,North Puget Sound
COHO,1,21,2,5,U-skgbkh,Baker (Skagit) Hatchery UnMarked,North Puget Sound
COHO,1,22,2,6,M-skgbkh,Baker (Skagit) Hatchery Marked,North Puget Sound
COHO,1,23,2,7,U-skgbkw,Baker (Skagit) Wild UnMarked,North Puget Sound
COHO,1,24,2,8,M-skgbkw,Baker (Skagit) Wild Marked,North Puget Sound
