Species,StockVersion,"ProductionRegion
Number",ManagementUnitNumber,RRTerm_PR,"RRTerm
_PR_MU",StockID,StockLongName,StockName,StkGroup,MZGroup,StkLabel,TYPE,PR_Alpha,NatManagementObj
COHO,1,1,1,1,1,1,Nooksack River Wild UnMarked,U-nkskrw,1,1,Nooksack River Wild,Wild,A,
COHO,1,1,2,1,1,2,Nooksack River Wild Marked,M-nkskrw,1,1,Nooksack River Wild,Wild,A,
COHO,1,1,3,1,2,3,Kendall Creek Hatchery UnMarked,U-kendlh,2,,Kendall Creek Hatchery,Hatchery,A,
COHO,1,1,4,1,2,4,Kendall Creek Hatchery Marked,M-kendlh,2,,Kendall Creek Hatchery,Hatchery,A,
COHO,1,1,5,1,3,5,Skookum Creek Hatchery UnMarked,U-skokmh,3,,Skookum Creek Hatchery,Hatchery,A,
COHO,1,1,6,1,3,6,Skookum Creek Hatchery Marked,M-skokmh,3,,Skookum Creek Hatchery,Hatchery,A,
COHO,1,1,7,1,4,7,Lummi Ponds Hatchery UnMarked,U-lumpdh,4,,Lummi Ponds Hatchery,Hatchery,A,
COHO,1,1,8,1,4,8,Lummi Ponds Hatchery Marked,M-lumpdh,4,,Lummi Ponds Hatchery,Hatchery,A,
COHO,1,1,9,1,5,9,Bellingham Bay Net Pens UnMarked,U-bhambh,5,,Bellingham Bay Net Pens,Hatchery,A,
COHO,1,1,10,1,5,10,Bellingham Bay Net Pens Marked,M-bhambh,5,,Bellingham Bay Net Pens,Hatchery,A,
COHO,1,1,11,1,6,11,Samish River Wild UnMarked,U-samshw,6,2,Samish River Wild,Wild,A,
COHO,1,1,12,1,6,12,Samish River Wild Marked,M-samshw,6,2,Samish River Wild,Wild,A,
COHO,1,1,13,1,7,13,Area 7/7A Independent Wild UnMarked,U-ar77aw,7,,Area 7-7A Independent Wild,Wild,A,
COHO,1,1,14,1,7,14,Area 7/7A Independent Wild Marked,M-ar77aw,7,,Area 7-7A Independent Wild,Wild,A,
COHO,1,1,15,1,8,15,Whatcom Creek Hatchery UnMarked,U-whatch,8,,Whatcom Creek Hatchery,Hatchery,A,
COHO,1,1,16,1,8,16,Whatcom Creek Hatchery Marked,M-whatch,8,,Whatcom Creek Hatchery,Hatchery,A,
COHO,1,2,1,2,1,17,Skagit River Wild UnMarked,U-skagtw,9,3,Skagit River Wild,Wild,B,Skagit
COHO,1,2,2,2,1,18,Skagit River Wild Marked,M-skagtw,9,3,Skagit River Wild,Wild,B,Skagit
COHO,1,2,3,2,2,19,Skagit River Hatchery UnMarked,U-skagth,10,,Skagit River Hatchery,Hatchery,B,
COHO,1,2,4,2,2,20,Skagit River Hatchery Marked,M-skagth,10,,Skagit River Hatchery,Hatchery,B,
COHO,1,2,5,2,4,21,Baker (Skagit) Hatchery UnMarked,U-skgbkh,11,,Baker (Skagit) Hatchery,Hatchery,B,
COHO,1,2,6,2,4,22,Baker (Skagit) Hatchery Marked,M-skgbkh,11,,Baker (Skagit) Hatchery,Hatchery,B,
COHO,1,2,7,2,3,23,Baker (Skagit) Wild UnMarked,U-skgbkw,12,,Baker (Skagit) Wild,Wild,B,Skagit
COHO,1,2,8,2,3,24,Baker (Skagit) Wild Marked,M-skgbkw,12,,Baker (Skagit) Wild,Wild,B,Skagit
COHO,1,2,9,2,5,25,Swinomish Channel Hatchery UnMarked,U-swinch,13,,Swinomish Channel Hatchery,Hatchery,B,
COHO,1,2,10,2,5,26,Swinomish Channel Hatchery Marked,M-swinch,13,,Swinomish Channel Hatchery,Hatchery,B,
COHO,1,2,11,2,6,27,Oak Harbor Net Pens UnMarked,U-oakhbh,14,,Oak Harbor Net Pens,Hatchery,B,
COHO,1,2,12,2,6,28,Oak Harbor Net Pens Marked,M-oakhbh,14,,Oak Harbor Net Pens,Hatchery,B,
COHO,1,3,1,3,1,29,Stillaguamish River Wild UnMarked,U-stillw,15,4,Stillaguamish River Wild,Wild,C,Stillaguamish
COHO,1,3,2,3,1,30,Stillaguamish River Wild Marked,M-stillw,15,4,Stillaguamish River Wild,Wild,C,Stillaguamish
